"idAll";"clusters"
"i1";6
"i2";5
"i3";5
"i4";1
"i5";7
"i6";5
"i7";6
"i8";1
"i9";4
"i10";7
"i11";2
"i12";7
"i13";6
"i14";2
"i15";2
"i16";3
"i17";6
"i18";1
"i19";3
"i20";2
"i21";5
"i22";7
"i23";1
"i24";8
"i25";1
"i26";3
"i27";6
"i28";6
"i29";1
"i30";4
"i31";2
"i32";7
"i33";7
"i34";1
"i35";3
"i36";8
"i37";4
"i38";5
"i39";5
"i40";3
"i41";1
"i42";1
"i43";3
"i44";6
"i45";3
"i46";4
"i47";8
"i48";1
"i49";3
"i50";7
"i51";2
"i52";2
"i53";6
"i54";6
"i55";9
"i56";1
"i57";3
"i58";5
"i59";9
"i60";9
"i61";9
"i62";9
"i63";1
"i64";1
"i65";6
"i66";1
"i67";2
"i68";5
"i69";7
"i70";4
"i71";7
"i72";3
"i73";1
"i74";7
"i75";9
"i76";3
"i77";1
"i78";7
"i79";6
"i80";4
"i81";4
"i82";8
"i83";4
"i84";1
"i85";3
"i86";6
"i87";6
"i88";2
"i89";4
"i90";5
"i91";3
"i92";2
"i93";1
"i94";2
"i95";3
"i96";4
"i97";9
"i98";1
"i99";1
"i100";2
"i101";1
"i102";5
"i103";1
"i104";7
"i105";4
"i106";1
"i107";8
"i108";4
"i109";6
"i110";9
"i111";2
"i112";1
"i113";6
"i114";3
"i115";4
"i116";5
"i117";5
"i118";4
"i119";1
"i120";1
"i121";1
"i122";1
"i123";2
"i124";2
"i125";4
"i126";8
"i127";5
"i128";3
"i129";2
"i130";2
"i131";5
"i132";3
"i133";2
"i134";4
"i135";8
"i136";8
"i137";8
"i138";8
"i139";1
"i140";6
"i141";8
"i142";2
"i143";4
"i144";1
"i145";5
"i146";3
"i147";1
"i148";4
"i149";9
"i150";4
"i151";3
"i152";4
"i153";1
"i154";4
"i155";5
"i156";3
"i157";3
"i158";9
"i159";2
"i160";6
"i161";1
"i162";3
"i163";4
"i164";4
"i165";6
"i166";3
"i167";3
"i168";9
"i169";4
"i170";7
"i171";1
"i172";7
"i173";8
"i174";5
"i175";8
"i176";1
"i177";2
"i178";2
"i179";2
"i180";3
"i181";1
"i182";5
"i183";8
"i184";2
"i185";7
"i186";4
"i187";3
"i188";2
"i189";5
"i190";8
"i191";6
"i192";2
"i193";3
"i194";7
"i195";4
"i196";4
"i197";6
"i198";7
"i199";1
"i200";2
"i201";4
"i202";3
"i203";5
"i204";1
"i205";7
"i206";1
"i207";3
"i208";9
"i209";1
"i210";2
"i211";3
"i212";7
"i213";5
"i214";5
"i215";2
"i216";5
"i217";6
"i218";8
"i219";5
"i220";1
"i221";1
"i222";2
"i223";1
"i224";1
