"";"x"
"nbClusters";"9"
"percent A";"0.196428571428571"
"percent B";"0.133928571428571"
"percent C";"0.133928571428571"
"percent D";"0.125"
"percent E";"0.107142857142857"
"percent F";"0.09375"
"percent G";"0.0848214285714286"
"percent H";"0.0714285714285714"
"percent I";"0.0535714285714286"
"Calinski.Harabatz";"62.9507101492446"
"Calinski.Harabatz2";"2.42950928948085"
"Calinski.Harabatz3";"178.051496108159"
"Ray.Turi";"-0.0484003008167976"
"Davies.Bouldin";"-1.57016703195111"
"BIC";"2396.04008654165"
"BIC2";"1668.57415012143"
"AIC";"3167.07209426089"
"AICc";"37368.4054275942"
"AICc2";"3147.97587241089"
"postProbaGlobal";"0.981479932817558"
"random";"-2.01578063732263"
"algorithmUsed";"kmeans, fast (C)"
"convergenceTime";"8"
