IlluminaID,EnsemblReannotated
ILMN_1663490,ENSG00000118156
ILMN_1749540,ENSG00000203867
ILMN_1665601,ENSG00000176946
ILMN_1677530,ENSG00000176946
ILMN_2183261,ENSG00000176946
ILMN_1721580,ENSG00000092607
ILMN_1708798,ENSG00000145088
ILMN_1761801,ENSG00000250731
ILMN_1710284,ENSG00000114315
ILMN_1768534,ENSG00000134107
ILMN_1707156,ENSG00000093167
ILMN_1772329,ENSG00000093167
ILMN_1787567,ENSG00000102804
ILMN_1692177,ENSG00000102804
ILMN_1711091,ENSG00000102804
ILMN_1775235,ENSG00000144218
ILMN_1684108,ENSG00000113430
ILMN_1687440,ENSG00000064393
ILMN_1912737,ENSG00000064393
ILMN_1672004,ENSG00000141232
ILMN_1663281,ENSG00000242779
ILMN_1798181,ENSG00000185507
ILMN_2349061,ENSG00000185507
ILMN_1703123,ENSG00000144655
ILMN_2058468,ENSG00000112182
ILMN_1664099,ENSG00000107249
ILMN_2402600,ENSG00000107249
ILMN_1713249,ENSG00000119403
ILMN_1756676,ENSG00000119403
ILMN_1745420,ENSG00000119403
ILMN_1709870,ENSG00000069812
ILMN_2094266,ENSG00000069812
ILMN_1704972,ENSG00000132256
ILMN_2387090,ENSG00000163320
ILMN_1766309,ENSG00000100124
ILMN_2376263,ENSG00000102038
ILMN_1774272,ENSG00000173153
ILMN_2046896,ENSG00000173153
ILMN_1659343,ENSG00000183336
ILMN_1782633,ENSG00000183336
ILMN_1736954,ENSG00000160685
ILMN_1749478,ENSG00000196507
ILMN_1734190,ENSG00000196507
ILMN_1724504,ENSG00000183576
ILMN_1679577,ENSG00000183576
ILMN_1723185,ENSG00000130165
ILMN_1766650,ENSG00000129514
ILMN_1729973,ENSG00000105939
ILMN_1655740,ENSG00000019549
ILMN_1671651,ENSG00000196417
ILMN_1651286,ENSG00000134317
ILMN_1769934,ENSG00000134317
ILMN_1725680,ENSG00000137269
ILMN_1755383,ENSG00000137269
ILMN_1738132,ENSG00000005073
ILMN_1724145,ENSG00000141582
ILMN_2412922,ENSG00000156030
ILMN_1691559,ENSG00000109381
ILMN_2252295,ENSG00000109381
ILMN_1727426,ENSG00000157554
ILMN_1739659,ENSG00000023041
ILMN_2046003,ENSG00000023041
ILMN_2405305,ENSG00000133794
ILMN_1779677,ENSG00000083223
ILMN_2050911,ENSG00000197208
ILMN_1685097,ENSG00000138303
ILMN_1802905,ENSG00000105229
ILMN_1760593,ENSG00000008405
ILMN_1776109,ENSG00000173545
ILMN_1698402,ENSG00000086102
ILMN_1786989,ENSG00000148826
ILMN_1805466,ENSG00000125398
ILMN_1653861,ENSG00000010803
ILMN_1806603,ENSG00000166823
ILMN_1714850,ENSG00000122882
ILMN_1691641,ENSG00000125931
ILMN_2073732,ENSG00000105879
ILMN_1682110,ENSG00000253293
ILMN_1770247,ENSG00000253293
ILMN_1669523,ENSG00000170345
ILMN_1763260,ENSG00000100644
ILMN_1744395,ENSG00000197608
ILMN_1736165,ENSG00000055609
ILMN_1741782,ENSG00000141380
ILMN_1698441,ENSG00000156650
ILMN_1715963,ENSG00000100225
ILMN_1815121,ENSG00000118495
ILMN_1667977,ENSG00000115750
