Probes.Probe_Type VCap.Probe_id VCap.Gene_symbol point_change androgen_point_change
Common Probe ILMN_1709067 SAMD11 3 0
Common Probe ILMN_1653466 HES4 2 0
Common Probe ILMN_1709870 HES2 4 2
Common Probe ILMN_1761560 PHF13 17 0
Common Probe ILMN_1661940 CAMTA1 3 0
Common Probe ILMN_1710756 ENO1 14 0
Common Probe ILMN_1688103 CTNNBIP1 12 0
Common Probe ILMN_1726928 TCEA3 3 0
Common Probe ILMN_1777233 E2F2 2 0
Common Probe ILMN_1727458 HDAC1 23 0
Common Probe ILMN_1686968 ZNF362 9 4
Common Probe ILMN_1651278 SNIP1 4 0
Common Probe ILMN_1787691 CITED4 1 0
Common Probe ILMN_1653861 SCMH1 4 0
Common Probe ILMN_1789400 FOXD2 9 4
Common Probe ILMN_1814165 SSBP3 3 0
Common Probe ILMN_1686852 SSBP3 6 0
Common Probe ILMN_1776552 FUBP1 24 0
Common Probe ILMN_1703487 LMO4 3 0
Common Probe ILMN_1721580 TBX15 2 0
Common Probe ILMN_1795678 POLR3C 8 0
Common Probe ILMN_1734366 RORC 8 0
Common Probe ILMN_1711171 CREB3L4 21 6
Common Probe ILMN_1736954 ZBTB7B 4 0
Common Probe ILMN_1690170 CRABP2 8 0
Common Probe ILMN_1756669 POGK 10 NA
Common Probe ILMN_1794333 POU2F1 1 5
Common Probe ILMN_1811303 NR5A2 3 0
Common Probe ILMN_1769201 ELF3 1 0
Common Probe ILMN_1770085 BTG2 2 0
Common Probe ILMN_1683755 SOX13 4 0
Common Probe ILMN_1771805 ELK4 13 0
Common Probe ILMN_1725946 IRF6 3 0
Common Probe ILMN_1667977 DQ894659 5 0
Common Probe ILMN_1651286 LBP-32 2 0
Common Probe ILMN_1751656 KLF11 8 1
Common Probe ILMN_1733930 PREB 7 1
Common Probe ILMN_1772719 XAB1 13 7
Common Probe ILMN_1768751 MTA3 13 0
Common Probe ILMN_1660063 POLE4 11 5
Common Probe ILMN_1669669 KCMF1 6 0
Common Probe ILMN_1654065 ATOH8 2 0
Common Probe ILMN_1775235 AFF3 5 0
Common Probe ILMN_1794632 POLR1B 5 0
Common Probe ILMN_1674160 BIN1 6 0
Common Probe ILMN_1782305 NR4A2 8 0
Common Probe ILMN_1672094 DLX1 4 0
Common Probe ILMN_1657087 ZNF385B 3 0
Common Probe ILMN_1731418 SP110 4 0
